"location","lat","long","alt","year","bloom_date","bloom_doy"
"vancouver",49.2237,-123.1636,24,2004,"2004-03-13",73
"vancouver",49.2237,-123.1636,24,2005,"2005-04-07",97
"vancouver",49.2237,-123.1636,24,2006,"2006-04-24",114
"vancouver",49.2237,-123.1636,24,2007,"2007-04-01",91
"vancouver",49.2237,-123.1636,24,2008,"2008-03-26",86
"vancouver",49.2237,-123.1636,24,2009,"2009-03-28",87
"vancouver",49.2237,-123.1636,24,2010,"2010-04-04",94
"vancouver",49.2237,-123.1636,24,2011,"2011-03-26",85
"vancouver",49.2237,-123.1636,24,2012,"2012-04-06",97
"vancouver",49.2237,-123.1636,24,2013,"2013-04-06",96
"vancouver",49.2237,-123.1636,24,2014,"2014-04-04",94
"vancouver",49.2237,-123.1636,24,2014,"2014-04-11",101
"vancouver",49.2237,-123.1636,24,2015,"2015-03-29",88
"vancouver",49.2237,-123.1636,24,2016,"2016-04-16",107
"vancouver",49.2237,-123.1636,24,2017,"2017-03-31",90
"vancouver",49.2237,-123.1636,24,2018,"2018-04-14",104
"vancouver",49.2237,-123.1636,24,2019,"2019-04-07",97
"vancouver",49.2237,-123.1636,24,2020,"2020-04-12",103
"vancouver",49.2237,-123.1636,24,2021,"2021-04-03",93
